points:13989
item239
item134
item48
item837
item783
item872
item270
item7
item148
item694
item906
item392
item37
item861
item713
item754
item766
item126
item17
item753
item803
item794
item5
item158
item677
item248
item658
item851
item689
item399
item699
item244
item458
item539
item196
item110
item254
item202
item750
item538
item440
item645
item69
item395
item477
item544
item602
item209
item631
item724
item589
item920
item463
item149
item98
item235
item296
item471
item974
item362
item683
item516
item62
item858
item961
item901
item839
item128
item767
item993
item193
item164
item133
item686
item557
item229
item891
item434
item59
item234
item294
item453
item533
item696
item656
item354
item205
item54
item637
item195
item491
item817
item45
item587
item383
item988
item693
item269
item207
item217
item359
item522
item905
item192
item451
item215
item581
item421
item759
item652
item455
item197
item918
item521
item170
item996
item88
item568
item423
item982
item718
item262
item325
item571
item26
item555
item973
item560
item127
item341
item179
item470
item601
item286
item497
item464
item616
item655
item836
item976
item599
item992
item965
item87
item628
item411
item914
item416
item40
item123
item895
item327
item358
item448
item680
item427
item512
item107
item329
item70
item306
item743
item290
item119
item772
item579
item606
item827
item935
item292
item526
item604
item981
item140
item849
item824
item972
item518
item232
item210
item567
item121
item738
item593
item679
item380
item691
item578
item848
item806
item336
item575
item176
item752
item319
item47
item819
item102
item495
item108
item721
item475
item723
item308
item940
item795
item486
item145
item184
item238
item152
item21
item35
item1
item591
item528
item862
item265
item142
item317
item834
item913
item52
item228
item159
item676
item273
item630
item850
item820
item921
item756
item6
item450
item638
item552
item285
item14
item377
item618
item386
item747
item397
item2
item875
item911
item731
item115
item394
item391
item785
item190
item635
item310
item532
item963
item299
item25
item369
item446
item367
item797
item698
item823
item659
item517
item355
item765
item586
item289
item314
item726
item994
item523
item374
item498
item912
item261
item812
item807
item430
item31
item854
item761
item715
item841
item247
item249
item291
item584
item409
item414
item548
item547
item926
item335
item697
item703
item810
item985
item796
item375
item948
item681
item280
item562
item597
item595
item39
item96
item420
item524
item744
item989
item426
item798
item792
item225
item951
item263
item605
item34
item886
item189
item320
item100
item478
item182
item266
item545
item153
item93
item387
item264
item741
item916
item345
item939
item943
item226
item678
item663
item424
item937
item813
item178
item213
item769
item729
item879
item64
item866
item643
item36
item657
item493
item546
item608
item909
item212
item136
item415
item114
item613
item781
item515
item924
item349
item537
item151
item958
item194
item956
item186
item706
item941
item860
item709
item106
item131
item305
item701
item437
item331
item710
item29
item622
item519
item563
item944
item786
item66
item784
item224
item466
item722
item19
item99
item432
item654
item177
item923
item826
item727
item95
item825
item103
item775
item368
item104
item585
item984
item739
item323
item904
item801
item175
item303
item63
item623
item32
item267
item832
item730
item379
item853
item564
item816
item143
item666
item999
item130
item490
item695
item897
item728
item413
item443
item118
item757
item946
item147
item742
item790
item847
item831
item361
item636
item970
item881
item588
item915
item366
item592
item328
item596
item871
item67
item870
item950
item412
item501
item690
item282
item243
item332
item172
item492
item749
item745
item255
item873
item436
item90
item648
item439
item525
item472
item942
item75
item770
item653
item768
item481
item809
item457
item771
item112
item565
item46
item307
item883
item85
item687
item284
item311
item259
item902
item338
item598
item166
item4
item390
item828
item778
item188
item342
item802
item425
item805
item986
item672
item736
item626
item983
item748
item620
item815
item44
item482
item360
item535
item910
item125
item160
item3
item141
item868
item574
item719
item389
item855
item611
item146
item268
item764
item105
item934
item979
item30
item930
item917
item346
item716
item629
item408
item642
item513
item43
item553
item344
item20
item200
item612
item617
item364
item402
item583
item154
item61
item462
item469
item964
item708
item313
item365
item903
item333
item977
item556
item959
item301
item671
item661
item955
item572
item22
item84
item838
item219
item315
item610
item962
item41
item554
item72
item474
item297
item725
item138
item204
item503
item132
item773
item295
item18
item278
item28
item10
item529
item171
item419
item646
item120
item80
item403
item163
item382
item789
item978
item952
item479
item507
item433
item318
item258
item907
item312
item271
item15
item665
item751
item967
item461
item594
item607
item459
item995
item58
item441
item122
item566
item86
item465
item987
item835
item514
item401
item406
item183
item135
item900
item614
item782
item840
item737
item300
item852
item632
item833
item675
item79
item894
item682
item634
item957
item456
item799
item417
item892
item339
item845
item222
item800
item509
item275
item449
item633
item927
item174
item279
item746
item410
item203
item198
item822
item793
item569
item351
item755
item763
item846
item173
item621
item483
item536
item707
item60
item252
item889
item83
item156
item511
item287
item945
item276
item609
